# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,1.69,
1.0,1.73,
2.0,1.86,
3.0,1.91,
4.0,1.96,
5.0,1.97,
6.0,1.98,
7.0,2.02,
8.0,2.15,
9.0,2.6,
10.0,3.15,
11.0,3.39,
12.0,3.52,
13.0,3.18,
14.0,2.25,
15.0,3.97,
16.0,4.87,
17.0,5.11,
18.0,5.11,
19.0,5.14,
20.0,5.27,
21.0,5.49,
22.0,5.96,
23.0,7.28,
24.0,5.66,
25.0,5.69,
26.0,5.74,
27.0,5.53,
28.0,6.39,
29.0,5.34,
30.0,5.7,
31.0,5.75,
32.0,5.5,
33.0,6.5,
34.0,5.63,
35.1,5.71,
36.1,5.5,
37.1,6.91,
38.1,5.61,
39.1,5.69,
40.1,5.49,
41.1,5.49,
42.1,5.82,
43.1,5.66,
44.1,5.72,
45.1,5.46,
46.1,6.96,
47.1,5.64,
48.1,5.72,
49.1,5.48,
50.1,6.06,
51.1,5.63,
52.1,5.61,
53.1,5.69,
54.1,5.57,
55.1,5.72,
56.1,5.69,
57.1,5.69,
58.1,5.8,
59.1,5.55,
60.1,6.72,
61.1,5.69,
62.1,5.74,
63.1,5.79,
64.1,5.74,
65.1,5.72,
66.1,5.71,
67.1,5.78,
68.1,5.55,
69.1,7.21,
70.1,5.72,
71.1,5.81,
72.1,5.6,
73.1,6.5,
74.1,5.73,
75.1,5.73,
76.1,5.87,
77.1,5.57,
78.1,5.73,
79.1,5.71,
80.1,5.78,
81.1,5.64,
82.1,7.06,
83.1,5.81,
84.1,5.87,
85.1,5.87,
86.1,5.91,
87.1,5.79,
88.1,5.82,
89.1,5.87,
90.1,5.66,
91.1,7.04,
92.1,5.8,
93.1,5.8,
94.1,5.89,
95.1,5.66,
96.1,6.11,
97.1,5.79,
98.1,5.87,
99.1,5.65,
100.1,7.12,
101.1,5.75,
102.1,5.83,
103.1,5.87,
104.1,5.64,
105.1,6.63,
106.1,5.83,
107.1,5.9,
108.1,5.74,
109.1,6.61,
110.1,5.83,
111.1,5.85,
112.1,5.94,
113.1,5.71,
114.1,6.98,
115.1,5.86,
116.1,5.93,
117.1,5.64,
118.1,6.06,
119.1,5.92,
120.1,5.91,
121.1,5.96,
122.1,5.73,
123.1,6.68,
124.1,5.85,
125.1,5.93,
126.1,5.71,
127.1,7.01,
128.1,5.86,
129.1,5.93,
130.1,5.92,
131.1,5.64,
132.1,5.66,
133.1,5.64,
134.1,6.28,
135.1,6.12,
136.1,6.12,
137.1,6.17,
138.1,6.38,
139.1,6.66,
140.1,6.65,
141.1,6.93,
142.1,6.89,
143.1,7.02,
144.1,7.5,
145.1,7.37,
146.1,7.52,
147.1,7.65,
148.1,7.79,
149.1,7.37,
150.1,7.49,
151.1,7.61,
152.1,7.73,
153.1,7.35,
154.1,8.51,
155.1,8.63,
156.1,8.76,
157.1,8.92,
158.1,8.47,
159.1,8.6,
160.1,8.71,
161.1,8.84,
162.1,8.97,
163.1,8.34,
164.1,6.89,
165.1,7.01,
166.1,7.99,
167.1,8.09,
168.1,6.9,
169.1,7.17,
170.1,7.38,
171.1,7.86,
172.1,7.92,
173.1,8.07,
174.1,8.53,
175.1,8.47,
176.1,8.46,
177.1,8.16,
178.1,8.27,
179.1,8.35,
180.1,8.71,
181.1,8.84,
182.1,8.91,
183.1,8.44,
184.1,7.89,
185.1,8.49,
186.1,8.5,
187.1,8.3,
188.1,8.44,
189.1,8.29,
190.1,7.06,
191.1,7.09,
192.1,7.09,
193.1,7.11,
194.1,7.19,
195.1,7.22,
196.1,7.41,
197.1,7.74,
198.1,7.74,
199.1,7.74,
200.1,7.74,
201.1,7.73,
202.1,7.73,
203.1,7.73,
204.1,7.72,
205.2,7.71,
206.2,7.69,
207.2,7.68,
208.2,7.68,
209.2,7.68,
210.2,7.62,
211.2,7.63,
212.2,7.62,
213.2,7.62,
214.2,7.62,
215.2,7.62,
216.2,7.62,
217.2,7.62,
218.2,7.62,
219.2,7.62,
220.2,7.62,
221.2,7.62,
222.2,7.62,
223.2,7.62,
224.2,7.66,
