# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,7.66,
1.0,6.99,
2.0,7.07,
3.0,7.14,
4.0,7.13,
5.0,7.1,
6.0,7.13,
7.0,8.28,
8.0,7.91,
9.0,8.74,
10.0,8.07,
11.0,8.1,
12.0,8.2,
13.0,8.57,
14.0,8.17,
15.0,8.37,
16.0,8.23,
17.0,8.61,
18.0,8.04,
19.0,8.12,
20.0,8.12,
21.0,8.14,
22.0,8.04,
23.0,8.03,
24.0,8.1,
25.0,7.91,
26.0,8.05,
27.0,8.06,
28.0,8.11,
29.0,7.9,
30.0,8.81,
31.0,8.0,
32.0,8.07,
33.0,7.85,
34.0,8.69,
35.0,8.01,
36.0,8.08,
37.0,7.93,
38.0,9.11,
39.0,8.08,
40.0,8.15,
41.0,7.93,
42.0,8.74,
43.0,8.02,
44.0,8.09,
45.0,7.82,
46.0,8.66,
47.0,8.04,
48.0,8.11,
49.0,7.92,
50.0,8.61,
51.0,8.1,
52.0,8.1,
53.0,8.15,
54.0,7.94,
55.0,8.07,
56.0,8.05,
57.0,8.12,
58.0,7.9,
59.0,8.04,
60.0,8.04,
61.0,8.11,
62.0,7.97,
63.0,8.88,
64.0,8.11,
65.0,8.22,
66.0,8.0,
67.0,8.9,
68.0,8.13,
69.0,8.2,
70.0,8.0,
71.0,8.91,
72.0,8.14,
73.0,8.22,
74.0,8.02,
75.0,8.91,
76.0,8.16,
77.0,8.23,
78.0,8.01,
79.0,8.93,
80.0,8.14,
81.0,8.22,
82.0,8.01,
83.0,8.94,
84.0,8.16,
85.0,8.24,
86.0,8.08,
87.0,9.54,
88.0,8.25,
89.0,8.33,
90.0,8.11,
91.0,9.47,
92.0,8.24,
93.0,8.32,
94.0,8.09,
95.1,9.44,
96.1,8.2,
97.1,8.29,
98.1,8.06,
99.1,9.03,
100.1,8.24,
101.1,8.33,
102.1,8.12,
103.1,8.97,
104.1,8.21,
105.1,8.29,
106.1,7.93,
107.1,7.95,
108.1,7.95,
109.1,7.94,
110.1,7.95,
111.1,7.95,
112.1,8.33,
113.1,8.36,
114.1,8.36,
115.1,9.05,
116.1,8.38,
117.1,8.37,
118.1,8.42,
119.1,8.68,
120.1,8.95,
121.1,8.94,
122.1,9.19,
123.1,9.19,
124.1,9.49,
125.1,9.56,
126.1,9.73,
127.1,9.86,
128.1,10.02,
129.1,9.91,
130.1,9.71,
131.1,9.83,
132.1,9.95,
133.1,10.12,
134.1,10.71,
135.1,10.86,
136.1,11.0,
137.1,11.11,
138.1,10.67,
139.1,10.8,
140.1,10.97,
141.1,11.08,
142.1,11.19,
143.1,9.01,
144.1,9.15,
145.1,9.25,
146.1,10.15,
147.1,9.03,
148.1,9.11,
149.1,9.4,
150.1,9.54,
151.1,10.09,
152.1,10.14,
153.1,10.65,
154.1,10.58,
155.1,9.52,
156.1,10.44,
157.1,10.43,
158.1,10.86,
159.1,10.88,
160.1,11.07,
161.1,10.34,
162.1,10.36,
163.1,10.38,
164.1,10.43,
165.1,10.64,
166.1,10.46,
167.1,9.15,
168.1,9.14,
169.1,9.11,
170.1,9.03,
171.1,9.09,
172.1,9.07,
173.1,9.39,
174.1,9.39,
175.1,9.39,
176.1,9.39,
177.1,9.38,
178.1,9.37,
179.1,9.36,
180.1,9.36,
181.1,9.34,
182.1,9.33,
183.1,9.32,
184.1,9.32,
185.1,9.29,
186.1,9.28,
187.1,9.27,
188.1,9.26,
189.1,9.2,
190.1,9.2,
191.1,9.2,
192.1,9.2,
193.1,9.2,
194.1,9.2,
195.1,9.2,
196.1,9.2,
197.1,9.2,
198.1,9.2,
199.1,9.2,
200.1,9.2,
201.1,9.2,
202.1,9.2,
203.1,9.2,
204.1,9.2,
205.1,9.2,
206.1,9.29,
