# total_ram_gb=14.6
t,ram_gb,vram_gb
0.1,2.32,0.42
1.8,2.33,0.42
3.8,2.38,0.42
5.8,2.38,0.42
7.3,2.39,0.42
8.9,2.4,0.42
10.9,2.41,0.42
12.9,2.42,0.42
14.8,2.44,0.42
16.4,2.46,0.42
18.3,2.51,0.42
20.2,2.51,0.42
22.1,2.53,0.42
24.0,2.53,0.42
25.9,2.54,0.42
27.9,2.56,0.42
29.7,2.57,0.42
31.8,2.62,0.42
33.7,2.64,0.42
35.7,2.64,0.42
37.3,2.61,0.42
38.8,2.61,0.42
40.3,2.61,0.42
41.9,2.62,0.42
43.6,2.65,0.42
45.2,2.66,0.42
47.1,2.73,0.42
49.2,2.78,0.42
50.7,2.84,0.42
52.1,2.9,0.42
53.6,2.86,0.42
55.3,2.86,0.42
57.0,2.92,0.42
59.0,2.98,0.42
60.8,3.04,0.42
62.7,3.01,0.42
64.2,3.05,0.42
65.8,3.1,0.42
67.7,3.14,0.42
69.4,3.16,0.42
71.3,3.2,0.42
73.1,3.23,0.42
75.0,3.27,0.42
76.9,3.3,0.42
78.8,3.39,0.42
80.5,3.46,0.42
82.5,3.55,0.42
84.2,3.63,0.42
86.2,3.48,0.42
87.8,3.47,0.42
89.3,3.47,0.42
90.8,3.47,0.42
92.3,3.47,0.42
93.8,3.47,0.42
95.3,3.47,0.42
96.8,3.49,0.42
98.5,3.49,0.42
100.0,3.51,0.42
103.1,3.74,0.42
107.1,4.02,
111.2,4.25,
115.2,4.53,
123.7,5.12,
137.4,5.79,0.42
140.6,5.97,0.42
143.4,6.05,0.42
145.9,5.98,0.42
149.6,6.2,0.42
151.9,6.27,0.42
155.6,6.34,0.42
158.8,6.1,0.42
160.8,5.9,0.42
162.6,5.98,0.42
164.1,5.73,0.42
165.7,5.66,0.42
167.2,5.45,0.42
168.7,5.28,0.42
170.2,5.17,0.42
171.7,5.1,0.42
173.2,5.05,0.42
174.7,5.04,0.42
176.4,4.99,0.42
177.9,4.78,0.42
179.5,4.61,0.42
181.0,4.41,0.42
182.5,4.23,0.42
184.0,4.22,0.42
185.9,4.33,0.42
187.7,4.42,0.42
189.6,4.51,0.42
191.4,4.58,0.42
193.4,4.67,0.42
195.4,4.74,0.42
197.3,4.84,0.42
199.3,4.92,0.42
201.2,5.01,0.42
203.0,5.09,0.42
205.0,5.17,0.42
206.9,5.26,0.42
208.7,5.33,0.42
210.6,5.42,0.42
212.5,5.49,0.42
214.5,5.58,0.42
216.3,5.65,0.42
218.2,5.74,0.42
219.8,5.79,0.42
221.8,5.89,0.42
223.7,5.97,0.42
225.7,6.07,0.42
227.7,6.16,0.42
229.5,6.26,0.42
231.4,6.34,0.42
233.5,6.4,0.42
235.2,6.41,0.62
237.2,6.25,1.06
239.0,6.25,1.46
240.6,6.25,1.96
242.2,6.25,2.43
243.8,6.25,2.9
245.3,6.25,3.06
246.9,6.27,3.21
249.0,6.31,3.37
251.0,6.33,3.37
252.9,6.36,3.52
255.0,6.42,3.87
256.9,6.45,4.5
258.6,6.45,4.75
260.6,6.48,7.19
262.3,6.51,7.56
264.4,6.54,8.72
266.0,6.53,10.41
267.9,6.55,10.41
269.6,6.53,11.84
271.3,6.56,11.84
273.1,6.54,12.06
274.7,6.56,12.06
276.5,6.54,12.06
278.2,6.55,12.06
279.7,6.53,12.06
281.5,6.53,12.06
283.1,6.54,12.06
284.7,6.54,12.06
286.3,6.54,12.06
287.8,6.55,12.06
289.4,6.53,12.06
291.0,6.54,12.06
292.6,6.53,12.06
294.1,6.55,12.06
295.8,6.54,12.06
297.3,6.57,12.06
299.0,6.63,12.06
300.9,6.73,12.06
302.7,6.8,12.06
304.7,6.9,12.06
306.6,6.96,12.06
308.5,7.07,12.06
310.3,7.15,12.06
312.4,7.25,12.06
314.4,7.34,12.06
316.3,7.37,12.06
317.9,7.37,12.06
319.8,7.37,12.06
321.3,7.37,12.06
322.9,7.37,12.06
324.5,7.37,12.06
326.2,7.37,12.06
327.6,7.37,12.06
329.2,7.36,12.06
330.6,7.41,12.06
332.7,7.45,12.06
334.2,7.46,12.06
336.2,7.48,12.06
338.1,7.46,12.06
339.8,7.46,12.06
341.3,7.46,12.06
343.1,7.46,12.06
344.6,7.47,12.06
346.4,7.46,12.06
348.0,7.47,12.06
349.6,7.46,12.06
351.1,7.47,12.06
352.6,7.46,12.06
354.2,7.47,12.06
355.7,7.46,12.06
357.3,7.48,12.06
358.8,7.46,12.06
360.3,7.48,12.06
361.8,7.46,12.06
363.4,7.46,12.06
364.9,7.46,12.06
366.4,7.46,12.06
368.0,7.46,12.06
369.5,7.46,12.06
371.1,7.45,12.06
372.6,7.45,12.06
374.3,7.45,12.06
375.7,7.46,12.06
377.4,7.46,12.06
378.9,7.46,12.06
380.5,7.46,12.06
382.0,7.46,12.06
383.5,7.46,12.06
385.0,7.46,12.06
386.6,7.55,12.06
388.2,7.62,12.06
390.2,7.72,12.06
392.1,7.79,12.06
394.1,7.86,12.06
395.8,7.86,12.06
397.7,7.86,12.06
399.2,7.86,12.06
400.9,7.86,12.06
402.6,7.86,12.06
404.1,7.86,12.06
405.6,7.86,12.06
407.3,7.87,12.06
408.7,7.87,10.34
410.7,7.9,6.5
412.8,7.88,3.16
414.5,7.88,3.16
416.0,7.88,3.16
417.7,7.93,3.16
419.6,7.96,3.16
421.2,7.96,3.16
422.8,8.0,3.16
424.7,8.07,3.16
426.7,8.13,3.16
428.6,8.2,3.16
430.6,8.26,3.16
432.6,8.34,3.16
434.5,8.41,3.16
436.5,8.42,0.53
438.5,8.42,0.53
440.3,7.65,0.53
442.1,6.7,0.53
443.7,6.57,0.53
445.3,6.63,0.53
446.9,6.57,0.53
448.3,6.57,0.53
449.8,6.57,0.53
451.2,6.57,0.53
452.7,6.58,0.53
454.2,6.58,0.53
455.7,6.57,0.53
457.2,6.58,0.53
458.7,6.58,0.53
460.2,6.58,0.53
461.7,6.58,0.53
463.2,6.58,0.53
464.8,6.58,0.53
466.3,6.58,0.53
467.8,6.58,0.53
469.3,6.57,0.53
470.8,6.57,0.53
472.2,6.57,0.53
473.7,6.57,0.53
475.2,6.57,0.53
476.7,6.57,0.53
478.2,6.64,0.53
480.0,6.6,0.53
481.5,6.61,0.53
