# total_ram_gb=47.1
t,ram_gb,vram_gb
0.0,0.94,0.57
1.1,0.94,0.61
2.1,0.94,0.65
3.2,0.95,0.78
4.2,0.95,0.91
5.3,0.95,0.97
6.3,0.95,0.97
7.4,0.95,0.97
8.5,0.97,0.97
9.6,0.99,0.96
10.6,1.1,0.94
11.7,1.11,0.93
12.8,1.18,0.93
13.8,1.21,0.92
14.9,1.43,0.92
15.9,1.65,0.92
17.0,1.41,0.92
18.1,1.5,0.92
19.2,1.36,0.92
20.3,1.83,0.92
21.4,2.88,0.91
22.5,3.63,1.12
23.5,3.69,5.03
24.6,3.73,8.4
25.6,3.82,7.49
26.6,3.9,7.49
27.7,4.13,7.52
28.7,4.21,7.53
29.8,4.21,5.37
30.8,4.21,5.38
31.9,4.21,5.46
32.9,4.21,5.45
34.0,4.21,5.44
35.1,4.21,5.51
36.1,4.21,5.54
37.2,4.21,5.59
38.2,4.21,5.65
39.3,4.21,5.74
40.3,4.21,5.95
41.4,4.21,5.9
