# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.74,
1.0,3.74,
2.0,3.73,
3.2,3.73,
4.2,3.73,
5.3,3.73,
6.4,3.73,
7.5,3.73,
8.5,3.76,
9.6,3.76,
10.6,3.75,
11.8,3.72,
12.9,3.6,
13.9,3.59,
14.9,3.59,
16.0,3.6,
17.1,3.55,
18.1,3.63,
19.2,3.63,
20.3,3.61,
21.3,3.49,
22.4,3.5,
23.5,3.52,
24.5,3.53,
25.6,3.51,
26.6,3.47,
27.6,3.49,
28.7,3.5,
29.8,3.52,
30.8,3.57,
31.8,3.55,
32.8,3.07,
33.9,3.53,
34.9,3.12,
35.9,2.91,
37.0,2.61,
38.1,2.35,
39.1,2.16,
40.1,2.16,
41.2,2.19,
42.3,2.22,
43.4,2.25,
44.5,2.29,
45.7,2.31,
46.8,2.36,
47.8,2.37,
48.8,2.42,
49.9,2.46,
50.9,2.51,
52.0,2.54,
53.0,2.59,
54.1,2.64,
55.1,2.69,
56.3,2.73,
57.3,2.74,
58.5,2.73,
59.5,2.74,
60.6,2.74,
61.7,2.74,
62.8,2.74,
63.8,2.74,
64.8,2.74,
65.8,2.75,
66.9,2.75,
67.9,2.74,
69.0,2.75,
70.1,2.74,
71.1,2.74,
72.2,2.73,
73.2,2.74,
74.3,2.74,
75.4,2.74,
76.6,2.75,
77.6,2.75,
78.8,2.75,
79.9,2.75,
81.0,2.75,
82.0,2.74,
83.1,2.75,
84.2,2.75,
85.2,2.75,
86.2,2.74,
87.2,2.77,
88.3,2.76,
89.3,2.76,
90.3,2.76,
91.5,2.75,
92.5,2.76,
93.5,2.76,
94.5,2.75,
95.5,2.73,
96.5,2.73,
97.7,2.67,
98.8,2.67,
99.9,2.61,
101.0,2.59,
102.0,2.6,
103.1,2.59,
104.3,2.59,
105.4,2.58,
106.6,2.51,
107.7,2.55,
108.8,2.59,
110.0,2.64,
111.0,2.63,
112.1,2.65,
113.1,2.65,
114.1,2.65,
115.1,2.65,
116.1,2.64,
117.2,2.61,
118.3,2.59,
119.4,2.56,
120.5,2.58,
121.5,2.6,
122.7,2.62,
123.7,2.62,
124.8,2.6,
125.8,2.61,
126.9,2.61,
128.0,2.61,
129.1,2.6,
130.1,2.6,
131.2,2.6,
132.3,2.6,
133.4,2.6,
134.5,2.6,
135.6,2.57,
136.6,2.57,
137.8,2.56,
138.9,2.54,
139.9,2.53,
