# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,2.77,
1.1,2.39,
2.3,2.45,
3.3,2.5,
4.4,2.49,
5.5,2.5,
6.5,2.86,
7.6,3.41,
8.8,2.99,
9.9,2.74,
11.1,2.48,
12.2,2.15,
13.4,2.31,
14.5,2.4,
15.5,2.23,
16.6,2.23,
17.7,2.25,
18.9,2.27,
20.0,2.3,
21.1,2.31,
22.1,2.35,
23.2,2.37,
24.4,2.41,
25.5,2.43,
26.5,2.47,
27.6,2.5,
28.7,2.54,
29.7,2.59,
30.8,2.62,
31.8,2.64,
32.9,2.66,
33.9,2.69,
35.0,2.7,
36.0,2.72,
37.1,2.89,
38.3,2.72,
39.3,2.72,
40.4,2.77,
41.4,2.72,
42.5,2.79,
43.6,2.72,
44.7,2.72,
45.9,2.72,
46.9,2.73,
47.9,2.73,
48.9,2.73,
50.1,2.72,
51.1,2.72,
52.2,2.72,
53.3,2.76,
54.3,2.87,
55.4,2.72,
56.5,2.73,
57.6,2.73,
58.7,2.72,
59.8,2.72,
60.8,2.72,
61.9,2.83,
63.0,2.79,
64.1,2.86,
65.1,2.74,
66.3,2.73,
67.3,2.8,
68.4,2.73,
69.5,2.73,
70.6,2.73,
71.6,2.73,
72.6,2.78,
73.8,2.73,
74.8,2.86,
75.8,2.72,
76.8,2.74,
77.9,2.74,
79.0,2.73,
80.1,2.73,
81.1,2.74,
82.1,2.73,
83.2,2.79,
84.4,2.73,
85.5,2.89,
86.6,2.73,
87.6,2.73,
88.7,2.73,
89.8,2.73,
90.9,2.72,
92.0,2.73,
93.1,2.74,
94.2,2.73,
95.4,2.74,
96.5,2.72,
97.6,2.73,
98.7,2.74,
99.9,2.73,
100.9,2.73,
102.0,2.73,
103.0,2.83,
104.1,2.75,
105.2,2.73,
106.3,2.74,
107.3,2.74,
108.4,2.82,
109.4,2.82,
110.5,2.77,
111.7,2.77,
112.8,2.77,
113.9,2.69,
115.0,2.71,
116.0,2.67,
117.2,2.68,
118.3,2.73,
119.4,2.77,
120.5,2.93,
121.6,3.08,
122.7,3.2,
123.7,2.84,
124.8,2.47,
125.9,2.09,
127.0,1.75,
128.1,1.71,
129.1,1.63,
130.3,1.98,
131.4,1.96,
132.4,2.51,
133.6,2.19,
134.6,2.43,
135.6,2.0,
136.8,2.03,
137.8,1.87,
139.0,2.0,
140.1,2.18,
141.2,2.07,
142.3,2.1,
143.4,2.06,
144.4,2.06,
145.5,2.24,
146.9,1.92,
148.0,2.04,
149.2,2.04,
150.3,2.07,
151.3,2.07,
152.5,2.05,
153.6,2.05,
154.8,2.09,
155.9,2.14,
157.0,2.65,
158.0,2.33,
159.2,1.99,
160.3,1.73,
161.4,1.67,
162.5,1.65,
163.5,1.53,
164.5,1.98,
165.6,2.1,
166.8,2.08,
167.8,2.07,
168.9,2.08,
169.9,2.03,
171.0,2.07,
172.1,1.87,
173.3,1.92,
174.5,2.04,
175.6,2.09,
176.8,2.12,
177.9,2.21,
178.9,2.16,
180.0,1.98,
