# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,3.99,
1.0,4.09,
2.0,4.31,
3.0,4.39,
4.0,4.43,
5.0,4.43,
6.0,4.45,
7.0,4.47,
8.0,4.75,
9.0,5.11,
10.0,5.41,
11.1,5.7,
12.1,5.98,
13.1,6.01,
14.1,6.16,
15.1,6.35,
16.2,6.58,
17.2,6.45,
18.2,6.21,
19.2,5.93,
20.2,5.57,
21.2,5.38,
22.2,6.43,
23.2,7.53,
24.2,7.85,
25.2,8.18,
26.2,8.14,
27.2,8.78,
28.2,9.54,
29.2,8.13,
30.2,8.1,
31.2,8.09,
32.2,8.15,
33.2,7.9,
34.2,8.1,
35.2,9.09,
36.2,8.03,
37.2,7.98,
38.2,8.06,
39.2,7.97,
40.2,7.72,
41.2,8.31,
42.2,8.64,
43.2,7.47,
44.2,7.8,
45.2,7.89,
46.2,7.55,
47.2,7.77,
48.2,8.51,
49.2,8.56,
50.2,7.75,
51.2,7.73,
52.2,7.82,
53.2,7.57,
54.2,7.68,
55.2,8.28,
56.2,8.31,
57.2,7.51,
58.2,7.56,
59.2,7.64,
60.2,7.51,
61.2,7.41,
62.2,8.33,
63.2,8.34,
64.2,7.53,
65.2,7.54,
66.2,7.62,
67.2,7.39,
68.2,7.54,
69.2,8.55,
70.2,7.55,
71.2,7.54,
72.2,7.58,
73.2,7.61,
74.2,7.46,
75.2,7.92,
76.2,8.94,
77.2,7.3,
78.2,7.6,
79.2,7.7,
80.2,7.38,
81.2,7.63,
82.2,8.69,
83.2,7.61,
84.2,7.61,
85.2,7.68,
86.2,7.68,
87.2,7.45,
88.2,8.08,
89.2,8.34,
90.2,7.48,
91.2,7.61,
92.2,7.67,
93.2,7.45,
94.2,7.64,
95.3,8.52,
96.3,8.4,
97.3,7.66,
98.3,7.66,
99.3,7.68,
100.3,7.87,
101.3,7.71,
102.3,7.48,
103.3,7.77,
104.3,8.78,
105.3,7.61,
106.3,7.61,
107.3,7.68,
108.3,7.68,
109.3,7.45,
110.3,8.21,
111.3,8.36,
112.3,7.59,
113.3,7.57,
114.3,7.51,
115.3,7.39,
116.3,7.71,
117.3,8.72,
118.3,7.36,
119.3,7.35,
120.3,7.43,
121.3,7.43,
122.3,7.21,
123.3,7.93,
124.3,8.13,
125.3,7.34,
126.3,7.34,
127.3,7.42,
128.3,7.19,
129.3,7.51,
130.3,8.59,
131.3,7.35,
132.3,7.33,
133.3,7.44,
134.3,7.41,
135.3,7.18,
136.3,7.52,
137.3,8.32,
138.3,7.16,
139.3,7.15,
140.3,7.23,
141.3,7.23,
142.3,7.0,
143.3,7.66,
144.3,7.91,
145.3,7.12,
146.3,7.11,
147.3,7.2,
148.3,6.97,
149.3,7.45,
150.3,8.39,
151.3,6.97,
152.3,7.12,
153.3,7.19,
154.3,7.04,
155.3,7.45,
156.3,8.56,
157.3,6.89,
158.3,7.18,
159.3,7.25,
160.3,7.02,
161.3,7.27,
162.3,8.29,
163.3,7.62,
164.3,6.9,
165.3,7.08,
166.3,7.15,
167.3,6.94,
168.3,7.07,
169.3,8.08,
170.3,6.92,
171.3,6.91,
172.3,6.99,
173.3,6.69,
174.3,6.79,
175.3,7.83,
176.3,6.76,
177.3,6.78,
178.3,6.82,
179.3,6.87,
180.3,6.66,
181.3,6.62,
182.3,7.45,
183.3,7.45,
184.3,6.63,
185.3,6.7,
186.3,6.64,
187.3,6.65,
188.3,6.41,
189.3,6.34,
190.3,6.36,
191.3,6.38,
192.3,6.39,
193.3,6.35,
194.3,6.33,
195.3,6.39,
196.3,6.32,
197.3,6.36,
198.3,6.36,
199.3,6.92,
200.3,7.03,
201.4,7.16,
202.4,7.34,
203.4,7.43,
204.4,7.42,
205.4,7.54,
206.4,8.07,
207.4,8.12,
208.4,7.24,
209.4,7.28,
210.4,7.32,
