# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,8.14,
1.0,5.67,
2.0,5.56,
3.0,5.59,
4.0,5.7,
5.0,5.7,
6.0,5.71,
7.0,5.97,
8.0,6.57,
9.0,7.09,
10.0,7.69,
11.0,8.43,
12.0,7.32,
13.0,7.62,
14.0,8.57,
15.0,8.58,
16.0,7.53,
17.0,7.67,
18.0,7.75,
19.0,7.5,
20.0,7.7,
21.0,8.69,
22.0,8.08,
23.0,7.66,
24.0,7.75,
25.0,7.74,
26.0,7.5,
27.0,7.91,
28.0,9.04,
29.0,7.65,
30.0,7.64,
31.0,7.73,
32.0,7.7,
33.0,7.49,
34.0,8.39,
35.0,8.46,
36.0,7.35,
37.0,7.67,
38.0,7.75,
39.0,7.76,
40.0,7.52,
41.0,7.75,
42.0,8.7,
43.0,8.49,
44.0,7.55,
45.0,7.68,
46.0,7.74,
47.0,7.75,
48.0,7.52,
49.0,7.71,
50.0,8.72,
51.0,8.52,
52.0,7.64,
53.0,7.68,
54.1,7.78,
55.1,7.77,
56.1,7.52,
57.1,7.87,
58.1,8.91,
59.1,7.69,
60.1,7.68,
61.1,7.91,
62.1,7.77,
63.1,7.61,
64.1,8.15,
65.1,9.24,
66.1,7.79,
67.1,7.78,
68.1,7.87,
69.1,7.86,
70.1,7.65,
71.1,8.31,
72.1,8.58,
73.1,7.64,
74.1,7.8,
75.1,7.88,
76.1,7.88,
77.1,7.65,
78.1,7.81,
79.1,8.79,
80.1,8.59,
81.1,7.41,
82.1,7.79,
83.1,7.83,
84.1,7.87,
85.1,7.63,
86.1,7.77,
87.1,8.73,
88.1,8.62,
89.1,7.43,
90.1,7.78,
91.1,7.87,
92.1,7.87,
93.1,7.64,
94.1,7.82,
95.1,8.85,
96.1,8.6,
97.1,7.82,
98.1,7.79,
99.1,7.87,
100.1,7.87,
101.1,7.63,
102.1,8.08,
103.1,9.15,
104.1,7.72,
105.1,7.78,
106.1,7.8,
107.1,7.86,
108.1,7.47,
109.1,7.71,
110.1,8.43,
111.1,8.83,
112.1,7.85,
113.1,7.85,
114.1,8.08,
115.1,7.92,
116.1,7.66,
117.1,7.66,
118.1,8.57,
119.1,8.6,
120.1,7.56,
121.1,7.79,
122.1,7.8,
123.1,7.85,
124.1,7.61,
125.1,7.66,
126.1,8.38,
127.1,8.46,
128.1,7.64,
129.1,7.66,
130.1,7.54,
131.1,7.62,
132.1,7.25,
133.1,7.37,
134.1,8.1,
135.1,8.16,
136.1,7.14,
137.1,7.41,
138.1,7.42,
139.1,7.51,
140.1,7.28,
141.1,7.56,
142.1,8.66,
143.1,7.27,
144.1,7.27,
145.1,7.27,
146.1,7.24,
147.1,6.99,
148.1,7.14,
149.1,7.97,
150.1,7.85,
151.1,6.7,
152.1,7.04,
153.1,7.31,
154.1,7.13,
155.2,6.72,
156.2,6.82,
157.2,7.22,
158.2,8.01,
159.2,7.81,
160.2,6.64,
161.2,7.02,
162.2,6.84,
163.2,6.93,
164.2,6.92,
165.2,6.72,
166.2,6.93,
167.2,7.64,
168.2,7.47,
169.2,6.71,
170.2,6.71,
171.2,6.72,
172.2,6.78,
173.2,6.8,
174.2,6.61,
175.2,6.41,
176.2,6.89,
177.2,7.59,
178.2,7.4,
179.2,6.6,
180.2,6.58,
181.2,6.45,
182.2,6.5,
183.2,6.49,
184.2,5.97,
185.2,6.27,
186.2,6.78,
187.2,7.36,
188.2,7.14,
189.2,6.0,
190.2,6.26,
191.2,6.46,
192.2,6.35,
193.2,5.84,
194.2,6.12,
195.2,6.81,
196.2,7.44,
197.2,6.14,
198.2,6.14,
199.2,6.13,
200.2,6.21,
201.2,5.94,
202.2,5.97,
203.2,6.12,
204.2,6.31,
205.2,6.46,
206.2,6.45,
207.2,6.58,
208.2,6.85,
209.2,7.19,
210.2,7.37,
211.2,7.06,
