# total_ram_gb=30.0
t,ram_gb,vram_gb
0.1,14.82,0.42
1.3,14.82,0.42
2.6,14.89,0.42
3.8,14.94,0.42
5.0,14.96,0.42
6.2,14.98,0.42
7.4,15.14,0.42
8.6,15.17,0.42
9.8,15.19,0.42
11.1,15.21,0.42
12.3,15.25,0.42
13.5,15.38,0.42
14.7,15.39,0.42
15.9,15.39,0.42
17.2,15.48,0.42
18.4,15.65,0.42
19.6,15.57,0.42
20.8,15.64,0.42
22.1,15.69,0.42
23.3,15.76,0.42
24.5,15.8,0.42
25.7,15.74,0.42
26.9,15.8,0.42
28.1,15.85,0.42
29.4,15.92,0.42
30.6,15.95,0.42
31.8,15.86,0.42
33.0,15.99,0.42
34.2,15.94,0.42
35.4,15.93,0.42
36.6,15.97,0.42
37.8,15.95,0.42
39.1,15.97,0.42
40.3,15.9,0.42
41.8,16.0,0.42
43.3,16.17,0.42
45.0,16.33,0.42
46.4,16.52,0.42
47.8,16.65,0.42
49.1,16.9,0.42
50.4,17.01,0.42
51.7,17.09,0.42
53.1,17.13,0.42
54.4,17.21,0.42
55.8,17.35,0.42
57.2,17.49,0.42
58.6,17.53,0.42
59.9,17.63,0.42
61.2,17.74,0.42
62.5,17.0,0.42
63.8,17.14,0.42
65.1,17.28,0.42
66.4,17.39,0.42
67.6,17.46,0.42
69.3,17.62,0.42
70.7,17.73,0.42
72.0,17.84,0.42
73.4,17.89,0.42
74.7,17.95,0.42
76.0,17.94,0.42
77.2,17.93,0.42
78.4,17.92,0.42
79.7,17.91,0.42
81.0,17.89,0.42
82.3,17.37,0.42
83.5,17.04,0.42
84.8,17.8,0.42
86.0,18.29,0.42
87.3,18.65,0.42
88.5,18.42,0.81
89.7,17.78,1.46
91.0,17.06,2.12
92.2,16.45,2.71
93.5,16.02,3.06
94.7,16.08,3.37
96.0,16.16,3.78
97.2,16.22,4.5
98.6,16.24,4.5
100.0,16.27,6.28
101.2,16.37,8.44
102.4,16.47,10.41
103.7,16.48,10.41
105.0,16.53,11.91
106.2,16.55,11.91
107.5,16.57,11.91
108.9,16.62,11.91
110.1,16.62,11.91
111.4,16.66,11.91
112.6,16.66,11.91
113.9,16.71,11.91
115.2,16.74,11.91
116.5,16.77,11.91
117.7,16.78,11.91
119.0,16.81,11.91
120.5,16.85,11.91
121.8,16.86,11.91
123.0,16.91,11.91
124.3,16.94,11.91
125.5,16.96,11.91
126.8,16.98,11.91
128.0,17.01,11.91
129.2,17.06,11.91
130.5,17.06,11.91
131.9,17.1,11.91
133.1,17.1,11.91
134.4,17.66,11.91
135.6,17.25,11.91
136.9,17.33,11.91
138.1,17.29,11.91
139.3,17.32,11.91
140.5,17.3,11.91
141.7,17.32,11.91
142.9,17.3,11.91
144.1,17.32,11.91
145.4,17.3,11.91
146.6,17.29,11.91
147.8,17.32,11.91
149.0,17.36,11.91
150.2,17.24,11.91
151.5,17.25,11.91
152.7,17.33,11.91
153.9,17.33,11.91
155.2,17.26,11.91
156.4,17.27,11.91
157.6,17.32,11.91
158.8,17.39,11.91
160.0,17.24,11.91
161.3,17.28,11.91
162.5,17.34,11.91
163.7,17.21,11.91
164.9,17.26,11.91
166.1,17.3,11.91
167.3,17.29,11.91
168.6,17.35,11.91
169.8,17.38,11.91
171.0,17.22,11.91
172.2,17.26,11.91
173.4,17.3,11.91
174.6,17.29,11.91
175.8,17.33,11.91
177.0,17.37,11.91
178.2,17.22,11.91
179.5,17.28,11.91
180.7,17.29,11.91
181.9,17.34,11.91
183.1,17.36,11.91
184.4,17.36,11.91
185.6,17.21,11.91
186.8,17.27,11.91
188.0,17.31,11.91
189.2,17.33,11.91
190.5,17.34,11.91
191.7,17.38,11.91
192.9,17.33,11.91
194.1,17.39,11.91
195.3,17.33,11.91
196.5,17.3,11.91
197.7,17.3,11.91
198.9,17.27,11.91
200.1,17.24,11.91
201.3,17.45,11.91
202.5,17.37,11.91
203.7,17.29,11.91
205.0,17.27,11.91
206.2,17.27,11.91
207.4,17.65,11.91
208.6,17.7,11.91
209.8,17.81,11.91
211.1,17.78,11.91
212.3,17.78,11.91
213.5,17.78,11.91
214.7,17.78,11.91
215.9,17.78,11.91
217.1,17.81,11.91
218.3,17.8,11.91
219.6,17.79,11.91
220.7,17.8,11.91
222.0,17.73,11.91
223.2,17.67,11.91
224.4,17.71,8.16
225.6,17.69,3.16
226.8,17.69,3.16
228.0,17.69,3.16
229.2,17.69,3.16
230.4,17.69,3.16
231.6,17.69,3.16
232.8,17.69,3.16
234.0,17.69,3.16
235.2,17.69,3.16
236.4,17.69,3.16
237.6,17.69,3.16
238.8,17.69,3.16
240.0,17.69,3.16
241.2,17.69,3.16
242.5,17.69,3.16
243.7,17.69,3.16
244.9,17.69,3.16
246.1,17.69,3.16
247.3,17.68,3.16
248.5,17.68,3.16
249.7,17.68,3.16
250.9,17.68,3.16
252.1,17.68,3.16
253.4,17.68,3.16
254.6,17.68,3.16
255.8,17.68,3.16
257.0,17.68,3.16
258.2,17.68,3.16
259.4,17.68,3.16
260.5,17.68,3.16
261.7,17.68,3.16
262.9,17.68,3.16
264.1,17.68,3.16
265.3,17.68,3.16
266.6,17.68,3.16
267.8,17.68,3.16
269.0,17.68,3.16
270.2,17.68,3.16
271.3,17.68,3.16
272.6,17.68,3.16
273.8,17.68,3.16
275.0,17.68,3.16
276.2,17.68,3.16
277.4,17.68,3.16
278.6,17.68,3.16
279.8,17.68,3.16
281.0,17.68,3.16
282.2,17.68,3.16
283.4,17.68,3.16
284.6,17.68,3.16
285.9,17.75,3.16
