# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,17.72,3.16
1.3,18.17,3.16
2.5,18.49,3.16
3.8,18.73,3.16
5.1,19.1,3.16
6.3,19.5,3.16
7.7,19.86,3.16
9.0,20.3,3.16
10.4,20.41,0.53
11.7,15.94,0.53
12.9,15.96,0.53
14.1,15.97,0.53
15.3,16.21,0.53
16.5,16.67,0.53
17.8,17.41,0.53
19.0,17.89,0.53
20.3,18.23,0.53
21.6,18.49,0.53
22.8,18.04,1.16
24.1,17.27,1.91
25.3,16.52,2.62
26.5,15.9,3.16
27.7,15.9,7.12
29.2,15.91,7.88
30.4,15.92,6.62
31.7,16.03,7.5
32.9,16.13,7.54
34.2,16.2,7.54
35.4,16.33,7.54
36.7,16.39,7.54
37.9,16.42,7.54
39.1,16.4,7.54
40.3,16.39,7.54
41.5,16.41,7.54
42.7,16.43,7.54
44.0,16.44,7.54
45.2,16.8,4.79
46.4,17.74,4.79
47.6,18.78,4.79
48.8,19.21,2.19
50.0,16.58,2.19
51.2,16.62,2.19
52.5,16.93,2.19
53.8,16.93,2.19
55.0,16.93,2.19
56.4,16.93,2.19
57.7,16.93,2.19
58.9,16.93,2.19
60.2,16.93,2.19
61.5,16.93,2.19
62.8,16.93,2.19
64.0,16.93,2.19
65.3,16.93,2.19
66.6,16.93,2.19
67.9,16.93,2.19
69.1,16.93,2.19
70.4,16.93,2.19
71.7,16.93,2.19
72.9,16.93,2.19
74.2,16.93,2.19
75.5,16.93,2.19
76.8,16.93,2.19
78.1,16.93,2.19
79.4,16.93,2.19
80.6,16.93,2.19
81.8,16.93,2.19
83.1,16.93,2.19
84.4,16.93,2.19
85.7,16.93,2.19
87.0,16.93,2.19
88.2,16.93,2.19
89.5,16.93,2.19
90.8,16.93,2.19
92.1,16.93,2.19
93.4,16.93,2.19
94.6,16.93,2.19
95.9,16.93,2.19
97.2,16.93,2.19
98.5,16.93,2.19
99.8,16.93,2.19
101.1,16.93,2.19
102.4,16.93,2.19
103.6,16.93,2.19
104.9,16.93,2.19
106.2,16.93,2.19
107.5,16.93,2.19
108.7,16.94,2.19
110.0,16.93,2.19
111.3,16.93,2.19
112.5,16.93,2.19
113.8,16.93,2.19
115.0,16.93,2.19
116.2,16.93,2.19
117.5,16.93,2.19
118.8,16.82,2.19
120.0,16.32,2.19
121.2,16.12,2.19
122.5,16.12,2.19
123.7,16.12,2.19
125.0,16.12,2.19
126.3,16.01,2.19
127.5,15.9,2.19
128.8,15.79,2.19
130.1,15.79,2.19
131.3,15.79,2.19
132.5,15.79,2.19
133.8,15.79,2.19
135.0,15.79,2.19
136.3,15.79,2.19
137.5,15.79,2.19
138.7,15.79,2.19
139.9,15.79,2.19
141.1,15.79,2.19
142.3,15.79,2.19
143.5,15.79,2.19
144.7,15.79,2.19
146.0,15.79,2.19
147.3,15.79,2.19
148.5,15.79,2.19
149.7,15.79,2.19
151.0,15.55,2.19
152.2,15.55,2.19
153.5,15.55,2.19
154.7,15.55,2.19
155.9,15.55,2.19
157.2,15.55,2.19
158.4,15.53,2.19
159.7,15.53,2.19
160.9,15.53,2.19
162.2,15.53,2.19
163.4,15.53,2.19
164.7,15.53,2.19
165.9,15.53,2.19
167.1,15.53,2.19
168.4,15.53,2.19
169.6,15.53,2.19
170.9,15.53,2.19
172.1,15.54,2.19
173.3,15.54,2.19
174.6,15.54,2.19
175.8,15.54,2.19
177.1,15.54,2.19
178.4,15.54,2.19
179.6,15.54,2.19
180.9,15.52,2.19
182.1,15.52,2.19
183.3,15.52,2.19
184.6,15.52,2.19
185.9,15.52,2.19
187.1,15.52,2.19
188.4,15.52,2.19
189.6,15.52,2.19
190.9,15.52,2.19
192.1,15.52,2.19
193.3,15.52,2.19
194.6,15.52,2.19
195.8,15.52,2.19
197.0,15.52,2.19
198.3,15.52,2.19
199.5,15.52,2.19
200.7,15.52,2.19
202.0,15.52,2.19
203.2,15.48,2.19
204.5,15.48,2.19
205.7,15.48,2.19
206.9,15.48,2.19
208.1,15.48,2.19
209.4,15.48,2.19
210.6,15.48,2.19
211.9,15.47,2.19
213.2,15.47,2.19
214.4,15.47,2.19
215.6,15.47,2.19
216.9,15.47,2.19
218.1,15.47,2.19
219.3,15.47,2.19
220.6,15.47,2.19
221.8,15.47,2.19
223.1,15.47,2.19
224.4,15.47,2.19
225.6,15.47,2.19
226.9,15.47,2.19
228.1,15.47,2.19
229.4,15.47,2.19
230.6,15.47,2.19
231.9,15.47,2.19
233.1,15.48,2.19
234.3,15.48,2.19
235.6,15.48,2.19
236.8,15.48,2.19
238.0,15.48,2.19
239.3,15.48,2.19
240.6,15.48,2.19
241.8,15.47,2.19
243.0,15.47,2.19
244.2,15.47,2.19
245.5,15.47,2.19
246.7,15.47,2.19
248.0,15.47,2.19
249.2,15.47,2.19
250.5,15.47,2.19
251.7,15.47,2.19
253.0,15.47,2.19
254.2,15.47,2.19
255.5,15.47,2.19
256.7,15.47,2.19
258.0,15.47,2.19
259.2,15.47,2.19
260.4,15.47,2.19
261.7,15.47,2.19
263.0,15.47,2.19
264.3,15.47,2.19
265.5,15.47,2.19
266.7,15.47,2.19
267.9,15.47,2.19
269.2,15.47,2.19
270.4,15.47,2.19
271.7,15.46,2.19
273.0,15.47,2.19
274.2,15.48,2.19
275.5,15.48,2.19
276.8,15.47,2.19
278.0,15.47,2.19
