# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,15.42,2.19
1.2,15.42,2.19
2.4,15.18,2.19
3.7,15.09,2.19
4.9,15.07,2.19
6.1,14.83,2.19
7.3,14.75,2.19
8.6,14.9,2.19
9.8,14.92,2.19
11.0,14.92,2.19
12.2,14.94,2.19
13.4,15.04,2.19
14.6,15.07,2.19
15.9,15.09,2.19
17.1,15.1,2.19
18.4,15.33,2.19
19.6,15.61,2.19
20.9,15.86,2.19
22.1,16.11,2.19
23.4,16.41,2.19
24.6,16.6,2.19
25.8,16.82,2.19
27.1,17.03,2.19
28.4,17.25,2.19
29.7,17.43,2.19
31.0,17.64,2.19
32.3,17.78,2.19
33.5,17.32,2.66
34.8,16.54,3.41
36.0,15.77,4.19
37.2,15.17,4.63
38.4,15.18,6.16
39.9,15.21,9.35
41.2,15.13,7.35
42.4,15.13,7.35
43.7,15.05,7.35
45.0,15.05,7.35
46.2,15.05,7.35
47.4,15.1,7.35
48.7,15.09,7.35
49.9,15.12,7.35
51.1,15.13,7.26
52.3,15.17,4.97
53.5,15.19,4.97
54.7,15.28,4.97
55.9,15.29,4.97
57.2,15.27,4.97
58.3,15.48,4.97
59.6,15.69,4.97
60.8,15.7,4.97
62.1,15.7,4.97
63.4,15.7,4.97
64.7,15.7,4.97
65.9,15.7,4.97
67.2,15.7,4.97
68.5,15.7,4.97
69.7,15.7,4.97
71.0,15.7,4.97
72.2,15.7,4.97
73.5,15.7,4.97
74.8,15.7,4.97
76.1,15.7,4.97
77.4,15.7,4.97
78.7,15.7,4.97
79.9,15.7,4.97
81.2,15.7,4.97
82.4,15.7,4.97
83.7,15.7,4.97
85.0,15.7,4.97
86.2,15.7,4.97
87.5,15.7,4.97
88.8,15.68,4.97
90.0,15.68,4.97
91.3,15.71,4.97
92.6,15.71,4.97
93.8,15.71,4.97
95.0,15.71,4.97
96.3,15.71,4.97
97.6,15.71,4.97
98.8,15.71,4.97
100.1,15.71,4.97
101.3,15.71,4.97
102.6,15.71,4.97
103.9,15.71,4.97
105.2,15.71,4.97
106.5,15.71,4.97
107.8,15.71,4.97
109.1,15.68,4.97
110.3,15.71,4.97
111.6,15.71,4.97
112.9,15.71,4.97
114.1,15.71,4.97
115.4,15.71,4.97
116.6,15.71,4.97
117.9,15.71,4.97
119.2,15.71,4.97
120.4,15.71,4.97
121.7,15.71,4.97
123.0,15.71,4.97
124.2,15.71,4.97
125.5,15.71,4.97
126.8,15.71,4.97
128.0,15.71,4.97
129.3,15.71,4.97
130.5,15.71,4.97
131.8,15.71,4.97
133.0,15.71,4.97
134.3,15.71,4.97
