# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.58,
1.0,4.71,
2.0,4.7,
3.1,4.81,
4.1,5.03,
5.1,5.08,
6.1,5.12,
7.1,5.16,
8.1,5.17,
9.1,5.23,
10.2,5.34,
11.2,5.95,
12.2,6.38,
13.2,6.76,
14.2,6.87,
15.2,6.93,
16.2,6.94,
17.2,7.0,
18.2,7.01,
19.2,6.85,
20.2,6.84,
21.2,6.54,
22.2,6.13,
23.2,7.14,
24.2,8.44,
25.2,8.77,
26.2,8.67,
27.2,9.21,
28.2,9.43,
29.2,8.66,
30.2,8.62,
31.2,8.64,
32.2,8.64,
33.2,8.6,
34.2,8.4,
35.2,8.83,
36.2,9.21,
37.2,8.48,
38.2,8.47,
39.2,8.49,
40.2,8.48,
41.2,8.25,
42.2,8.22,
43.2,9.5,
44.2,8.34,
45.2,8.33,
46.2,8.37,
47.2,8.38,
48.2,8.16,
49.3,8.15,
50.3,9.3,
51.3,8.28,
52.3,8.24,
53.3,8.29,
54.3,8.31,
55.3,7.98,
56.3,7.95,
57.3,8.93,
58.3,8.09,
59.3,8.08,
60.3,8.06,
61.3,8.13,
62.3,7.92,
63.3,7.93,
64.3,9.1,
65.3,8.05,
66.3,8.04,
67.3,8.29,
68.3,8.1,
69.3,7.91,
70.3,7.91,
71.3,9.23,
72.3,7.71,
73.3,8.03,
74.3,8.11,
75.3,8.11,
76.3,7.97,
77.3,7.97,
78.3,9.3,
79.3,7.82,
80.3,8.12,
81.3,8.18,
82.3,8.18,
83.3,7.97,
84.3,7.97,
85.3,9.26,
86.3,7.91,
87.3,8.1,
88.3,8.23,
89.3,8.17,
90.3,7.96,
91.3,7.99,
92.3,9.3,
93.3,7.86,
94.3,8.1,
95.3,8.17,
96.3,8.17,
97.3,7.97,
98.3,7.96,
99.3,9.19,
100.3,8.0,
101.3,8.05,
102.3,8.11,
103.3,8.07,
104.3,7.85,
105.3,7.85,
106.3,8.75,
107.3,7.79,
108.3,7.79,
109.3,7.86,
110.3,7.86,
111.3,7.68,
112.3,7.66,
113.3,8.52,
114.3,7.79,
115.3,7.77,
116.3,7.85,
117.3,7.7,
118.3,7.58,
119.3,7.66,
120.3,8.36,
121.3,7.69,
122.3,7.69,
123.3,7.77,
124.3,7.77,
125.3,7.57,
126.3,7.69,
127.3,8.35,
128.3,7.69,
129.3,7.71,
130.3,7.77,
131.3,7.78,
132.3,7.59,
133.3,7.6,
134.3,8.93,
135.3,7.77,
136.3,7.78,
137.3,7.78,
138.3,7.83,
139.3,7.82,
140.3,7.63,
141.3,8.04,
142.3,7.78,
143.3,7.61,
144.3,7.61,
145.3,7.69,
146.3,7.69,
147.3,7.5,
