# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,8.21,
1.0,5.63,
2.0,5.74,
3.0,5.45,
4.0,5.52,
5.0,5.53,
6.0,5.53,
7.0,5.84,
8.0,6.44,
9.0,7.79,
10.0,7.06,
11.0,7.57,
12.0,7.57,
13.0,8.16,
14.0,8.5,
15.0,7.64,
16.0,7.71,
17.0,7.71,
18.0,7.78,
19.0,7.78,
20.0,7.56,
21.0,7.75,
22.0,8.49,
23.0,7.33,
24.0,7.69,
25.0,7.7,
26.0,7.77,
27.0,7.77,
28.0,7.53,
29.0,7.72,
30.1,8.74,
31.1,7.62,
32.1,7.61,
33.1,7.61,
34.1,7.69,
35.1,7.69,
36.1,7.45,
37.1,7.45,
38.1,8.95,
39.1,7.61,
40.1,7.61,
41.1,7.61,
42.1,7.69,
43.1,7.68,
44.1,7.44,
45.1,7.45,
46.1,8.88,
47.1,7.6,
48.1,7.58,
49.1,7.6,
50.1,7.68,
51.1,7.67,
52.1,7.43,
53.1,7.46,
54.1,8.82,
55.1,7.59,
56.1,7.6,
57.1,7.6,
58.1,7.68,
59.1,7.67,
60.1,7.44,
61.1,7.43,
62.1,8.77,
63.1,7.59,
64.1,7.57,
65.1,7.59,
66.1,7.66,
67.1,7.67,
68.1,7.5,
69.1,7.52,
70.1,8.69,
71.1,7.67,
72.1,7.65,
73.1,7.68,
74.1,7.75,
75.1,7.74,
76.1,7.51,
77.1,7.5,
78.1,8.72,
79.1,7.67,
80.1,7.67,
81.1,7.67,
82.1,7.75,
83.1,7.74,
84.1,7.5,
85.1,7.51,
86.1,8.69,
87.1,7.66,
88.1,7.64,
89.1,7.66,
90.1,7.73,
91.1,7.73,
92.1,7.48,
93.1,7.51,
94.1,8.48,
95.1,7.64,
96.1,7.63,
97.1,7.63,
98.1,7.72,
99.1,7.72,
100.1,7.48,
101.1,7.48,
102.1,8.39,
103.1,7.6,
104.1,7.58,
105.1,7.6,
106.1,7.67,
107.1,7.67,
108.1,7.43,
109.1,7.44,
110.1,8.44,
111.1,7.58,
112.1,7.57,
113.1,7.6,
114.1,7.66,
115.1,7.66,
116.1,7.49,
117.1,7.49,
118.1,8.57,
119.1,7.65,
120.1,7.66,
121.1,7.65,
122.1,7.73,
123.1,7.73,
124.1,7.49,
125.1,7.36,
126.1,8.25,
127.1,7.51,
128.1,7.5,
129.1,7.37,
130.1,7.45,
131.1,7.46,
132.1,7.22,
133.1,7.24,
134.1,8.07,
135.1,7.14,
136.1,7.18,
137.1,7.18,
138.1,7.27,
139.1,7.28,
140.1,7.04,
141.1,7.03,
142.1,7.55,
143.1,7.83,
144.1,7.02,
145.1,7.04,
146.1,7.12,
147.1,7.12,
148.1,6.55,
149.1,6.75,
150.1,7.44,
151.1,7.74,
152.1,6.89,
153.1,6.75,
154.1,6.81,
155.1,6.82,
156.1,6.32,
157.1,6.58,
158.1,7.19,
159.1,7.38,
160.1,6.55,
161.1,6.55,
162.1,6.66,
163.1,6.65,
164.1,6.32,
165.1,6.5,
166.1,7.12,
167.1,7.3,
168.1,6.47,
169.1,6.48,
170.1,6.54,
171.1,6.57,
172.1,6.23,
173.1,6.2,
174.1,6.78,
