# total_ram_gb=30.0
t,ram_gb,vram_gb
0.1,13.6,0.42
1.4,13.61,0.42
2.6,13.65,0.42
3.9,13.67,0.42
5.1,13.7,0.42
6.4,13.73,0.42
7.6,13.76,0.42
8.9,13.82,0.42
10.1,13.94,0.42
11.3,13.97,0.42
12.5,13.99,0.42
13.8,14.03,0.42
15.0,14.1,0.42
16.3,14.19,0.42
17.6,14.19,0.42
18.8,14.19,0.42
20.0,14.37,0.42
21.4,14.42,0.42
22.6,14.47,0.42
23.8,14.4,0.42
25.0,14.44,0.42
26.2,14.51,0.42
27.4,14.57,0.42
28.6,14.48,0.42
29.8,14.57,0.42
31.1,14.64,0.42
32.3,14.7,0.42
33.5,14.74,0.42
34.7,14.77,0.42
36.0,14.69,0.42
37.2,14.7,0.42
38.4,14.7,0.42
39.7,14.74,0.42
40.9,14.68,0.42
42.1,14.67,0.42
43.3,14.67,0.42
44.6,14.69,0.42
46.0,14.84,0.42
47.9,15.04,0.42
49.9,15.22,0.42
52.2,15.51,0.42
53.8,15.7,0.42
55.8,16.05,0.42
57.9,16.24,0.42
59.6,16.41,0.42
61.2,16.59,0.42
62.5,16.59,0.42
63.7,16.58,0.42
65.0,16.62,0.42
66.2,16.63,0.42
67.5,16.69,0.42
68.7,16.65,0.42
70.0,16.64,0.42
71.3,16.64,0.42
72.5,16.66,0.42
73.8,16.66,0.42
75.1,16.73,0.42
76.5,16.81,0.42
78.0,16.85,0.42
79.5,16.89,0.42
81.1,15.71,0.42
82.6,15.65,0.42
84.0,15.69,0.42
85.3,15.74,0.42
86.8,15.78,0.42
88.1,15.84,0.42
89.4,15.83,0.42
90.6,15.81,0.42
91.9,15.78,0.42
93.1,15.6,0.42
94.4,16.11,0.42
95.7,16.38,0.42
97.0,16.74,0.42
98.2,17.11,0.42
99.6,17.35,0.42
100.8,16.82,1.09
102.0,16.05,1.87
103.2,15.23,2.71
104.5,14.73,3.09
105.7,14.8,3.37
106.9,14.9,3.78
108.2,14.93,4.5
109.5,14.95,4.5
110.8,14.98,6.59
112.0,15.11,8.44
113.2,15.18,10.41
114.5,15.19,10.41
115.8,15.25,11.91
117.0,15.27,11.91
118.2,15.29,11.91
119.5,15.35,11.91
120.8,15.35,11.91
122.2,15.39,11.91
123.4,15.39,11.91
124.6,15.45,11.91
125.9,15.47,11.91
127.2,15.5,11.91
128.5,15.55,11.91
129.8,15.55,11.91
131.2,15.59,11.91
132.4,15.62,11.91
133.7,15.65,11.91
134.9,15.66,11.91
136.2,15.68,11.91
137.6,15.73,11.91
138.8,15.73,11.91
140.1,15.78,11.91
141.4,15.81,11.91
142.6,15.83,11.91
143.9,16.25,11.91
145.1,15.99,11.91
146.3,16.04,11.91
147.5,16.06,11.91
148.7,16.07,11.91
150.0,16.06,11.91
151.2,16.06,11.91
152.4,16.04,11.91
153.6,16.05,11.91
154.8,16.05,11.91
156.0,16.07,11.91
157.3,16.05,11.91
158.5,15.94,11.91
159.7,15.94,11.91
161.0,16.16,11.91
162.2,16.0,11.91
163.4,16.02,11.91
164.6,16.05,11.91
165.8,16.11,11.91
167.0,15.99,11.91
168.3,16.02,11.91
169.5,16.03,11.91
170.7,16.16,11.91
171.9,15.99,11.91
173.1,16.04,11.91
174.4,16.07,11.91
175.6,16.11,11.91
176.8,16.12,11.91
178.0,16.11,11.91
179.2,16.0,11.91
180.4,16.06,11.91
181.7,16.15,11.91
182.9,16.09,11.91
184.1,15.99,11.91
185.3,16.04,11.91
186.5,16.04,11.91
187.8,16.07,11.91
189.0,16.13,11.91
190.2,16.17,11.91
191.4,16.02,11.91
192.6,16.02,11.91
193.8,16.02,11.91
195.1,16.07,11.91
196.3,16.15,11.91
197.5,16.0,11.91
198.7,16.02,11.91
199.9,16.01,11.91
201.1,16.07,11.91
202.3,16.08,11.91
203.6,16.04,11.91
204.8,16.03,11.91
206.0,16.26,11.91
207.2,16.12,11.91
208.4,16.03,11.91
209.7,16.05,11.91
210.9,16.03,11.91
212.1,16.03,11.91
213.3,16.23,11.91
214.5,16.18,11.91
215.8,16.02,11.91
217.0,16.43,11.91
218.2,16.57,11.91
219.4,16.56,11.91
220.6,16.58,11.91
221.8,16.58,11.91
223.1,16.57,11.91
224.3,16.57,11.91
225.5,16.56,11.91
226.7,16.58,11.91
228.0,16.57,11.91
229.2,16.56,11.91
230.4,16.45,11.91
231.6,16.45,11.91
232.8,16.46,11.16
234.1,16.48,3.16
235.3,16.47,3.16
236.5,16.47,3.16
237.7,16.47,3.16
238.9,16.55,3.16
240.1,16.49,3.16
