# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,16.49,3.16
1.2,17.12,3.16
2.5,17.37,3.16
3.8,17.69,3.16
5.0,18.13,3.16
6.2,18.46,3.16
7.5,18.79,3.16
8.7,19.15,2.25
10.0,18.22,0.53
11.3,14.63,0.53
12.5,14.63,0.53
13.7,14.66,0.53
14.9,14.66,0.53
16.2,14.68,0.53
17.4,15.39,0.53
18.6,16.17,0.53
19.8,16.94,0.53
21.1,17.33,0.53
22.3,16.88,1.12
23.6,16.12,1.84
24.8,15.39,2.59
26.0,14.72,3.16
27.2,14.74,6.88
28.5,14.73,8.12
30.1,14.73,6.69
31.3,14.82,7.5
32.5,14.96,7.54
33.8,14.99,7.54
35.1,15.17,7.54
36.3,15.2,7.54
37.5,15.22,7.54
38.8,15.22,7.54
40.0,15.23,7.54
41.3,15.26,7.54
42.5,15.27,7.54
43.7,15.28,7.54
45.0,15.37,4.79
46.2,16.24,4.79
47.5,17.15,4.79
48.7,18.04,4.1
49.9,17.33,2.19
51.1,15.58,2.19
52.3,15.73,2.19
53.6,15.8,2.19
54.8,15.75,2.19
