# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,15.74,2.19
1.2,15.53,2.19
2.4,15.37,2.19
3.7,15.03,2.19
4.9,15.09,2.19
6.1,15.19,2.19
7.3,15.2,2.19
8.6,15.2,2.19
9.8,15.23,2.19
11.0,15.26,2.19
12.2,15.38,2.19
13.5,15.37,2.19
14.7,15.27,2.19
15.9,15.34,2.19
17.2,16.04,2.19
18.4,16.8,2.19
19.6,17.59,2.19
20.8,17.95,2.19
22.1,17.33,2.82
23.3,16.6,3.54
24.5,15.85,4.22
25.7,15.33,4.63
27.0,15.27,7.35
28.4,15.29,9.63
29.8,15.26,7.32
31.1,15.32,7.32
32.3,15.26,7.32
33.6,15.31,4.97
34.8,15.33,4.97
36.1,15.4,4.97
37.2,15.41,4.97
38.5,15.42,4.97
39.7,15.46,4.97
40.9,15.78,4.97
42.1,15.86,4.97
43.3,15.84,4.97
